date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2018-01-01,51,20,0.029,0.014,0.3,0.003,6.4,8.8,4,0
2018-01-02,58,27,0.027,0.023,0.4,0.004,7,10.1,3,0
2018-01-03,34,17,0.033,0.011,0.3,0.003,5,8.4,3.5,0
2018-01-04,27,14,0.028,0.013,0.3,0.002,3.9,4.6,2.4,0.6
2018-01-05,25,15,0.029,0.013,0.3,0.002,5.1,6.5,1.9,4.2
2018-01-06,26,14,0.032,0.013,0.3,0.002,6.2,8.7,4.8,0
2018-01-07,24,14,0.021,0.021,0.3,0.002,8.5,11.5,4.4,3.6
2018-01-08,23,15,0.028,0.015,0.4,0.002,8.7,11.3,6.1,4.1
2018-01-09,45,23,0.033,0.01,0.3,0.002,4.9,7,2.8,0.4
2018-01-10,26,13,0.034,0.008,0.2,0.002,2.4,5.9,-0.5,3.4
2018-01-11,13,8,0.03,0.006,0.2,0.002,0,1.7,-2.2,8.3
2018-01-12,14,8,0.032,0.008,0.2,0.002,0.7,2.3,-2.3,1.8
2018-01-13,25,15,0.024,0.02,0.3,0.002,4.5,6.9,1.4,0
2018-01-14,32,20,0.026,0.022,0.4,0.003,7.8,12.9,3.1,0
2018-01-15,27,13,0.026,0.021,0.3,0.002,10.8,14.4,7.8,0
2018-01-16,23,15,0.014,0.031,0.4,0.003,12.1,14.4,8.7,16.5
2018-01-17,31,23,0.037,0.015,0.4,0.002,9.5,11.5,8.5,3.8
2018-01-18,95,69,0.039,0.021,0.7,0.003,8.9,10.8,6.3,0
2018-01-19,59,28,0.027,0.023,0.5,0.003,6.8,9.4,4.3,0
2018-01-20,69,34,0.03,0.023,0.5,0.004,6.1,9.9,2.8,0
2018-01-21,66,40,0.036,0.021,0.5,0.004,8.5,11.4,3.9,0
2018-01-22,65,44,0.041,0.018,0.5,0.004,9,10.9,7.1,0.7
2018-01-23,31,18,0.035,0.011,0.3,0.002,2.1,7.6,0,0.3
2018-01-24,20,12,0.032,0.009,0.3,0.002,-1.2,1.2,-2.4,4.5
2018-01-25,19,10,0.032,0.009,0.2,0.002,-1.9,-1.2,-2.6,0
2018-01-26,20,11,0.032,0.009,0.3,0.002,-1.3,-0.4,-2.1,0.1
2018-01-27,23,12,0.031,0.013,0.3,0.003,0.9,3.6,-1.6,0
2018-01-28,32,23,0.032,0.012,0.4,0.003,2.6,4.6,0.5,2
2018-01-29,34,19,0.033,0.011,0.4,0.003,1.8,4,-0.1,1.7
2018-01-30,32,13,0.03,0.013,0.3,0.002,2.2,4.1,-0.2,1.5
2018-01-31,37,20,0.024,0.022,0.4,0.003,3.8,5,2.1,0.5
2018-02-01,46,29,0.034,0.015,0.4,0.004,4.5,6.8,3.2,0
2018-02-02,28,14,0.031,0.015,0.3,0.003,3.8,6.1,1.6,0
2018-02-03,30,17,0.034,0.009,0.3,0.003,1.4,4.9,-0.7,1.1
2018-02-04,17,10,0.034,0.006,0.2,0.002,-0.4,0.8,-2.3,5.9
2018-02-05,23,15,0.034,0.008,0.3,0.003,0.2,2.6,-1.7,3.5
2018-02-06,17,11,0.033,0.008,0.2,0.002,-0.6,0.8,-2.5,5.7
2018-02-07,20,15,0.027,0.017,0.2,0.002,0.6,1.9,-1.3,1.7
2018-02-08,35,29,0.031,0.023,0.4,0.003,2.5,6.8,-0.7,3.1
2018-02-09,40,31,0.027,0.027,0.4,0.003,6,11.2,1.4,0
2018-02-10,64,33,0.036,0.017,0.3,0.003,5.8,7.9,2.7,2.2
2018-02-11,66,24,0.036,0.009,0.3,0.004,2.5,5.4,1,0.8
2018-02-12,69,21,0.035,0.011,0.2,0.003,2.7,4.1,-0.1,0
2018-02-13,54,17,0.03,0.018,0.3,0.003,4.9,8.3,2.7,0
2018-02-14,56,26,0.033,0.025,0.3,0.003,9.8,15.4,2.5,0
2018-02-15,54,27,0.034,0.016,0.3,0.003,7.1,10.5,4.6,0
2018-02-16,31,16,0.033,0.013,0.2,0.003,6.1,9.7,3.9,0
2018-02-17,38,20,0.038,0.01,0.3,0.003,4.4,7.5,2.8,0
2018-02-18,25,11,0.029,0.016,0.2,0.003,6.7,10.2,1.7,0.9
2018-02-19,51,32,0.031,0.02,0.4,0.004,8.3,10.5,5.5,2.1
2018-02-20,80,57,0.034,0.021,0.5,0.004,8.4,11.9,4.6,0
2018-02-21,36,21,0.037,0.013,0.3,0.003,5.5,7.5,4.2,0
2018-02-22,41,25,0.04,0.016,0.3,0.004,5,7.6,3.2,0
2018-02-23,74,52,0.036,0.021,0.4,0.003,8.7,13.1,3.3,0
2018-02-24,59,40,0.041,0.021,0.4,0.004,9.4,13.3,5.3,0
2018-02-25,61,43,0.037,0.018,0.4,0.003,9.8,13.2,6.7,0
2018-02-26,46,25,0.031,0.025,0.4,0.003,8.1,11.9,4.2,0
