std,type,big,middle,job,sex,age,money,count,mean_money
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,여,50대,14434000,67,215433
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,남,50대,15119000,72,209986
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,여,40대,7609500,41,185598
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,남,50대,7092500,40,177313
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,남,40대,9098500,59,154212
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,남,50대,10267600,71,144614
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,남,50대,4125000,30,137500
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,여,40대,7412800,55,134778
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,여,30대,11925400,95,125531
14-Sep,내국인 관광객,서귀포시,남원읍,골프 용품,남,50대,1727400,14,123386
14-Sep,내국인 관광객,제주시,연동,악세 사리,남,50대,1197800,10,119780
14-Sep,내국인 관광객,제주시,이도2동,스포츠레져용품,여,30대,1177000,10,117700
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,남,50대,1741000,15,116067
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,남,30대,14132700,122,115842
14-Sep,내국인 관광객,제주시,용담2동,의원,남,40대,1273970,11,115815
14-Sep,내국인 관광객,제주시,노형동,스포츠레져용품,남,50대,1363200,12,113600
14-Sep,내국인 관광객,제주시,이도2동,스포츠레져용품,남,40대,1574500,14,112464
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,남,40대,11930300,109,109452
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,여,50대,5034200,46,109439
14-Sep,내국인 관광객,제주시,노형동,안경,남,40대,1175000,11,106818
14-Sep,내국인 관광객,제주시,이도2동,스포츠레져용품,남,30대,2232500,21,106310
14-Sep,내국인 관광객,제주시,이도2동,스포츠레져용품,남,50대,1060000,10,106000
14-Sep,내국인 관광객,제주시,연동,의원,여,50대,3348200,32,104631
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,50대,3209500,31,103532
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,남,30대,6990000,68,102794
14-Sep,내국인 관광객,제주시,연동,정장(여성),남,30대,4477100,44,101752
14-Sep,내국인 관광객,제주시,연동,농축수산품,남,40대,4167700,42,99231
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),여,50대,1974700,20,98735
14-Sep,내국인 관광객,제주시,삼도2동,의원,남,40대,1380100,14,98579
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,남,40대,1966000,20,98300
14-Sep,내국인 관광객,제주시,삼도2동,의원,여,20대,1367500,14,97679
14-Sep,내국인 관광객,제주시,노형동,스포츠레져용품,남,30대,1362500,14,97321
14-Sep,내국인 관광객,제주시,이도2동,안경,남,30대,1736000,18,96444
14-Sep,내국인 관광객,제주시,노형동,스포츠레져용품,남,40대,2010800,21,95752
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,남,30대,7605900,80,95074
14-Sep,내국인 관광객,제주시,이도2동,정장(여성),여,30대,4071200,43,94679
14-Sep,내국인 관광객,제주시,연동,농축수산품,남,50대,4813300,51,94378
14-Sep,내국인 관광객,제주시,연동,정장(여성),여,50대,2629300,28,93904
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,50대,1217400,13,93646
14-Sep,내국인 관광객,제주시,연동,정장(여성),남,40대,1684800,18,93600
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,남,30대,1306000,14,93286
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,남,50대,18255120,197,92666
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,여,50대,2122900,23,92300
14-Sep,내국인 관광객,제주시,연동,농축수산품,여,20대,1013000,11,92091
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,남,20대,4747700,52,91302
14-Sep,내국인 관광객,제주시,삼도2동,악세 사리,남,40대,995200,11,90473
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,여,40대,1969800,22,89536
14-Sep,내국인 관광객,제주시,연동,스포츠레져용품,여,20대,7965600,89,89501
14-Sep,내국인 관광객,제주시,노형동,농축수산품,남,50대,4441700,50,88834
14-Sep,내국인 관광객,제주시,애월읍,골프 용품,남,50대,963600,11,87600
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,20대,1648400,19,86758
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,여,50대,2069000,24,86208
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,여,50대,12952450,153,84657
14-Sep,내국인 관광객,제주시,연동,기념품 점,남,40대,2537000,31,81839
